alias_advisory_count,alias_advisory_present,canonical_harmonic_order,canonical_primary_role,frequency,graph_id,is_canonical_harmonic,is_dominant,is_operational_reference,is_primary_sideband_member,node_id,node_index,observation_id,period,power,primary_sideband_role,reference_is_dominant,relationship_participation_count,retained_peak_id,retained_rank,semantic_fingerprint,upstream_peak_fingerprint,layout_x,layout_y,display_in_panel
0,False,,NONCANONICAL_FAMILY_MEMBER,0.6119830257285492,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0032,31,observation:4a4591056283a9debf557521,1.6340322491943744,0.0005758359488326061,,False,468,retained_peak:observation:4a4591056283a9debf557521:0032,32,eb5644ef70a6b184bdeca34d7c77731f2d24bb9f7dfa357767f7122f6bee19a3,cb44988a5e50d8a59dcae4d08f28e1575c1caebd68a43a830e61d922c9b71867,0.022701475595913737,0.3168772111711396,NO
0,False,,NONCANONICAL_FAMILY_MEMBER,8.259397019243082,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0033,32,observation:4a4591056283a9debf557521,0.12107421373136065,0.000504320934526964,,False,437,retained_peak:observation:4a4591056283a9debf557521:0033,33,76be9c2f98a6b7132bd7e083deae9d9defca9fcd17112a3e29c54aae6def7e4f,b57cec6037f8e2fcc7b9c41adca03d5e263b34572dbee16cb917f30ea2a0beff,0.4120317820658343,0.3041080605191916,NO
0,False,,NONCANONICAL_FAMILY_MEMBER,8.928267047830358,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0034,33,observation:4a4591056283a9debf557521,0.11200381828218368,0.0004359791994404368,,False,461,retained_peak:observation:4a4591056283a9debf557521:0034,34,0f556a210ff16a1346485faf63910990ff2c9fc1ec96a5d9362ad54fcf720f2c,635497cbe37eeb4f6b5550dc2c7af4430b53cb2b4ac257f3f8f388960aaf500b,0.4460839954597049,0.29008632368613124,NO
0,False,,NONCANONICAL_FAMILY_MEMBER,7.23379630874259,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0035,34,observation:4a4591056283a9debf557521,0.13823999976214763,0.00039568920468509565,,False,464,retained_peak:observation:4a4591056283a9debf557521:0035,35,3820027483b29dfba9a35d6e5700788b44f393a0c8ca17515738d1a293f3f2c9,ac8cf39cf1e9b8f2aa53f40f6dc655fde970a66d6831904a7b3a5b0798f36160,0.3598183881952326,0.28074941877059123,NO
0,False,,NONCANONICAL_FAMILY_MEMBER,9.797798084993818,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0036,35,observation:4a4591056283a9debf557521,0.1020637485407652,0.0003914339788380577,,False,438,retained_peak:observation:4a4591056283a9debf557521:0036,36,14ac54f9c225d9807cd299bc1b8e502a44e536343cb62d2eaeabde505b971fdb,b2753d18387a68a2078c8c40c0b8db3a4f657e392d89ee39d2c011d5686c9cf3,0.49035187287173665,0.2797083007211718,NO
0,False,,NONCANONICAL_FAMILY_MEMBER,7.100022303025135,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0037,36,observation:4a4591056283a9debf557521,0.14084462799136926,0.0003772944547071019,,False,450,retained_peak:observation:4a4591056283a9debf557521:0037,37,4a9ae8a9a6d8b610a202b2817c835ed9d58f06da79d9c7156c4a2c927882d6ed,5c4bd21d345d65b7cf0fc432cbf80dc901c5af3a444ecd1607ca2622d06c1f46,0.3530079455164586,0.2761656636273774,NO
0,False,,NONCANONICAL_FAMILY_MEMBER,8.571536365917144,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0038,37,observation:4a4591056283a9debf557521,0.11666519948235689,0.0003688572290412192,,False,455,retained_peak:observation:4a4591056283a9debf557521:0038,38,edcc38d92ef5e66af648f3d52075940ae07274b06bf4771d2da7c0270f3bbd87,5a4b01f8c749ab30c41dd2c1887496f87ba02fb89703ebba4a30b4268eb45cae,0.4279228149829739,0.2739879193234143,NO
0,False,,COMBINATION_CANDIDATE_ONLY,11.514564491701162,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0039,38,observation:4a4591056283a9debf557521,0.08684653255628777,0.000349905930799227,,False,389,retained_peak:observation:4a4591056283a9debf557521:0039,39,230584d06b43d678e2184315b18e89bc3906be636bc498b729d25b33922a1480,3d1e891f3922e354f4c193fd9cd619725f6dd681e537c06dd890395353bb035d,0.5777525539160046,0.2689090193383442,NO
0,False,,NONCANONICAL_FAMILY_MEMBER,16.70945504706235,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0040,39,observation:4a4591056283a9debf557521,0.05984635628053039,0.00030445057745571714,,False,261,retained_peak:observation:4a4591056283a9debf557521:0040,40,3479554193aebafbbf9c40a1b19fd935a32c4302de1124f0edfe337f5acbba1c,5d906ea9c423b929fa209f9e830c61986045afe9348ad2dca7c620ca3567e74d,0.8422247446083997,0.2555095847988122,NO
0,False,,NONCANONICAL_FAMILY_MEMBER,0.27754801143491076,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0041,40,observation:4a4591056283a9debf557521,3.602980236932864,0.00029419584888847007,,False,446,retained_peak:observation:4a4591056283a9debf557521:0041,41,6c33347a5cf13498f222b97264cf1345aa318ed360f0320cc981bac9168a9551,de44fae388dfb9d1c61a19ccf211cc71e7cf41a1ca3195f1652c746573ed7f79,0.005675368898978434,0.25221035859568597,NO
